index,Product Name,Price
1,Apple MacBook pro 2019 (A2141) 16 inch Retina Dispaly Intel Core i9 with 2.3 Ghz (32GB RAM 512GB SSD) Touch Bar - Grey Color - Daraz Like New Laptops,"Rs. 209,999"
2,"HP Pavilion 13-bb0021nm (Natural silver) FHD IPS, Core i7-11th Gen, 2.80Ghz, Intel Iris Processor 16GB Ram , 512GB SSD, Open Box - With Bag Gift - Daraz Like New Laptops","Rs. 189,999"
3,"Samsung NP940X5N Laptop – Intel Core i7 8th Gen, 16GB RAM, 256GB M.2 SSD, 15.6″ FHD Touchscreen Ultrabook","Rs. 74,999"
4,"Apple MacBook Pro A1706 (2017) with Retina, Touch Bar, Intel Core i5 Dual Core 3.1GHz, (13-inches, 16GB RAM, 512GB SSD) - Space Gray - Daraz Like New Laptops","Rs. 152,999"
5,"HP EliteBook 840 G7 Core i7 10th Gen, 32GB RAM, 512GB SSD, 14″ FHD LED Windows 11 Licensed (FREE LAPTOP BAG) - Daraz like new laptops","Rs. 199,999"
6,"Dell Latitude 5410 Ultra Book Core i7 10th generation, 16GB DDR4 Ram 256GB Solid State Drive SSD 14.1"" FHD Led Display Intel HD Graphics - Daraz Like New Laptops","Rs. 145,000"
7,"Daraz Like New Laptop - HP EliteBook 850 G7 Core i5 10th Gen, 16GB, 512GB SSD, 15.6″ FHD IPS LED, Windows 11","Rs. 123,999"
8,"HP EliteBook 840 G3 Ultra Book, Intel Core i5 6th generation Laptop, With 8GB DDR4 Ram, 256GB SSD, 14.1""inch Led Display, Intel HD Graphics","Rs. 65,000"
9,"Hp eilte x 360 14 1040 g9 2 in 1 notebook pc - Alder Lake - 12th gen core i7 1255u processor 16gb ram 512gb ssd intel iris Xe GC 14 WUXGA 1200p IPS 250nits Touch Screen Convertible Display B&O Play BKB FPRWolfPro Security w11 pro Eng-kb (Silver, open box)","Rs. 290,000"
10,Hp Elitebook 745 G3 - AMD 8th Generation - 16GB DDR4 RAM - 128GB SSD+500 HDD - 14 inch Screen - FREE LAPTOP BAG,"Rs. 58,000"
